,date_index,date,date_prev_index,prev_date,tile_index,tile_lat_index,tile_lon_index,min_lat_index,max_lat_index,min_lon_index,max_lon_index,min_lat_bound,max_lat_bound,min_lon_bound,max_lon_bound,min_lat,max_lat,min_lon,max_lon
0,1,1958-02-01,0,1958-01-01,0,0,0,0,179,0,179,45.0,46.5,-8.673617379884035e-19,1.5,45.00416666666667,46.49583333333333,0.004166666666666667,1.4958333333333333
1,1,1958-02-01,0,1958-01-01,1,0,1,0,179,180,359,45.0,46.5,1.5,3.0,45.00416666666667,46.49583333333333,1.5041666666666667,2.995833333333333
2,1,1958-02-01,0,1958-01-01,2,0,2,0,179,360,539,45.0,46.5,2.9999999999999996,4.5,45.00416666666667,46.49583333333333,3.0041666666666664,4.495833333333334
3,1,1958-02-01,0,1958-01-01,3,0,3,0,179,540,719,45.0,46.5,4.5,6.0,45.00416666666667,46.49583333333333,4.504166666666666,5.995833333333334
4,1,1958-02-01,0,1958-01-01,4,0,4,0,179,720,899,45.0,46.5,6.0,7.5,45.00416666666667,46.49583333333333,6.004166666666666,7.495833333333334
5,1,1958-02-01,0,1958-01-01,5,0,5,0,179,900,1079,45.0,46.5,7.5,9.0,45.00416666666667,46.49583333333333,7.504166666666666,8.995833333333334
6,1,1958-02-01,0,1958-01-01,6,0,6,0,179,1080,1259,45.0,46.5,9.0,10.5,45.00416666666667,46.49583333333333,9.004166666666666,10.495833333333334
7,1,1958-02-01,0,1958-01-01,7,0,7,0,179,1260,1439,45.0,46.5,10.5,12.0,45.00416666666667,46.49583333333333,10.504166666666666,11.995833333333334
8,1,1958-02-01,0,1958-01-01,8,0,8,0,179,1440,1619,45.0,46.5,12.0,13.5,45.00416666666667,46.49583333333333,12.004166666666666,13.495833333333334
9,1,1958-02-01,0,1958-01-01,9,0,9,0,179,1620,1799,45.0,46.5,13.5,15.0,45.00416666666667,46.49583333333333,13.504166666666666,14.995833333333334
10,1,1958-02-01,0,1958-01-01,10,1,0,180,359,0,179,46.5,48.0,-8.673617379884035e-19,1.5,46.50416666666667,47.99583333333333,0.004166666666666667,1.4958333333333333
11,1,1958-02-01,0,1958-01-01,11,1,1,180,359,180,359,46.5,48.0,1.5,3.0,46.50416666666667,47.99583333333333,1.5041666666666667,2.995833333333333
12,1,1958-02-01,0,1958-01-01,12,1,2,180,359,360,539,46.5,48.0,2.9999999999999996,4.5,46.50416666666667,47.99583333333333,3.0041666666666664,4.495833333333334
13,1,1958-02-01,0,1958-01-01,13,1,3,180,359,540,719,46.5,48.0,4.5,6.0,46.50416666666667,47.99583333333333,4.504166666666666,5.995833333333334
14,1,1958-02-01,0,1958-01-01,14,1,4,180,359,720,899,46.5,48.0,6.0,7.5,46.50416666666667,47.99583333333333,6.004166666666666,7.495833333333334
15,1,1958-02-01,0,1958-01-01,15,1,5,180,359,900,1079,46.5,48.0,7.5,9.0,46.50416666666667,47.99583333333333,7.504166666666666,8.995833333333334
16,1,1958-02-01,0,1958-01-01,16,1,6,180,359,1080,1259,46.5,48.0,9.0,10.5,46.50416666666667,47.99583333333333,9.004166666666666,10.495833333333334
17,1,1958-02-01,0,1958-01-01,17,1,7,180,359,1260,1439,46.5,48.0,10.5,12.0,46.50416666666667,47.99583333333333,10.504166666666666,11.995833333333334
18,1,1958-02-01,0,1958-01-01,18,1,8,180,359,1440,1619,46.5,48.0,12.0,13.5,46.50416666666667,47.99583333333333,12.004166666666666,13.495833333333334
19,1,1958-02-01,0,1958-01-01,19,1,9,180,359,1620,1799,46.5,48.0,13.5,15.0,46.50416666666667,47.99583333333333,13.504166666666666,14.995833333333334
20,1,1958-02-01,0,1958-01-01,20,2,0,360,539,0,179,48.0,49.5,-8.673617379884035e-19,1.5,48.00416666666666,49.49583333333334,0.004166666666666667,1.4958333333333333
21,1,1958-02-01,0,1958-01-01,21,2,1,360,539,180,359,48.0,49.5,1.5,3.0,48.00416666666666,49.49583333333334,1.5041666666666667,2.995833333333333
22,1,1958-02-01,0,1958-01-01,22,2,2,360,539,360,539,48.0,49.5,2.9999999999999996,4.5,48.00416666666666,49.49583333333334,3.0041666666666664,4.495833333333334
23,1,1958-02-01,0,1958-01-01,23,2,3,360,539,540,719,48.0,49.5,4.5,6.0,48.00416666666666,49.49583333333334,4.504166666666666,5.995833333333334
